method,deriv_order,noise_level,total_successful,total_failures,failure_rate,affected_odes
AAA-Python-Adaptive-Wavelet,3,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,3,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,4,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,4,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,4,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,4,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,4,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,4,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,5,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,5,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,5,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,5,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,5,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,5,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,6,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,6,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,6,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,6,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,6,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,6,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,7,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,7,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,7,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,7,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,7,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
AAA-Python-Adaptive-Wavelet,7,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,0,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,0,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,0,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,0,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,0,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,0,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,1,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,1,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,1,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,1,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,1,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,1,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,2,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,2,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,2,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,2,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,2,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,2,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,3,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,3,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,3,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,3,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,3,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,3,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,4,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,4,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,4,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,4,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,4,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,4,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,5,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,5,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,5,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,5,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,5,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,5,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,6,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,6,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,6,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,6,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,6,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,6,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,7,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,7,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,7,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,7,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,7,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
ButterworthSpline_Python,7,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,0,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,0,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,0,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,0,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,0,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,0,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,1,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,1,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,1,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,1,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,1,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,1,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,2,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,2,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,2,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,2,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,2,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,2,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,3,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,3,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,3,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,3,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,3,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,3,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,4,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,4,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,4,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,4,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,4,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,4,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,5,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,5,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,5,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,5,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,5,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,5,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,6,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,6,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,6,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,6,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,6,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,6,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,7,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,7,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,7,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,7,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,7,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Butterworth_Python,7,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,2,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,2,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,2,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,2,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,2,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,2,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,3,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,3,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,3,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,3,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,3,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,3,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,4,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,4,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,4,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,4,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,4,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,4,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,5,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,5,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,5,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,5,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,5,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,5,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,6,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,6,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,6,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,6,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,6,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,6,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,7,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,7,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,7,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,7,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,7,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Central-FD,7,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Dierckx-5,6,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Dierckx-5,6,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Dierckx-5,6,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Dierckx-5,6,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Dierckx-5,6,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Dierckx-5,6,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Dierckx-5,7,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Dierckx-5,7,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Dierckx-5,7,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Dierckx-5,7,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Dierckx-5,7,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
Dierckx-5,7,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
KalmanGrad_Python,6,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
KalmanGrad_Python,6,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
KalmanGrad_Python,6,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
KalmanGrad_Python,6,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
KalmanGrad_Python,6,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
KalmanGrad_Python,6,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
KalmanGrad_Python,7,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
KalmanGrad_Python,7,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
KalmanGrad_Python,7,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
KalmanGrad_Python,7,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
KalmanGrad_Python,7,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
KalmanGrad_Python,7,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
PyNumDiff-Butter-Auto,0,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
PyNumDiff-Butter-Auto,0,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
PyNumDiff-Butter-Auto,0,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
PyNumDiff-Butter-Auto,0,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
PyNumDiff-Butter-Auto,0,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
PyNumDiff-Butter-Auto,0,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
PyNumDiff-Butter-Auto,1,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
PyNumDiff-Butter-Auto,1,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
PyNumDiff-Butter-Auto,1,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
PyNumDiff-Butter-Auto,1,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
PyNumDiff-Butter-Auto,1,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
PyNumDiff-Butter-Auto,1,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
PyNumDiff-Butter-Auto,2,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
PyNumDiff-Butter-Auto,2,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
PyNumDiff-Butter-Auto,2,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
PyNumDiff-Butter-Auto,2,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
PyNumDiff-Butter-Auto,2,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
PyNumDiff-Butter-Auto,2,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
PyNumDiff-Butter-Auto,3,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
PyNumDiff-Butter-Auto,3,1.0e-6,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
PyNumDiff-Butter-Auto,3,0.0001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
PyNumDiff-Butter-Auto,3,0.001,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
PyNumDiff-Butter-Auto,3,0.01,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
PyNumDiff-Butter-Auto,3,0.02,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
PyNumDiff-Butter-Auto,4,1.0e-8,0,30,1.0,"lotka_volterra, van_der_pol, lorenz"
